team,team_id,abbreviation,color,alt_color,logo_light,logo_dark,seasons
Florida Atlantic,2226,FAU,#003366,#cc0000,https://cdn.collegefootballdata.com/logos/500/2226.png,https://cdn.collegefootballdata.com/logos-dark/500/2226.png,2021|2023|2026
Florida International,2229,FIU,#091f3f,#c3993f,https://cdn.collegefootballdata.com/logos/500/2229.png,https://cdn.collegefootballdata.com/logos-dark/500/2229.png,2021|2023|2026
Florida State,52,FSU,#782f40,#ceb888,https://cdn.collegefootballdata.com/logos/500/52.png,https://cdn.collegefootballdata.com/logos-dark/500/52.png,2021|2023|2026
Fresno State,278,FRES,#c41230,#13284c,https://cdn.collegefootballdata.com/logos/500/278.png,https://cdn.collegefootballdata.com/logos-dark/500/278.png,2021|2023|2026
Georgia,61,UGA,#ba0c2f,#2c2a29,https://cdn.collegefootballdata.com/logos/500/61.png,https://cdn.collegefootballdata.com/logos-dark/500/61.png,2021|2023|2026
Georgia Southern,290,GASO,#041e42,#ffffff,https://cdn.collegefootballdata.com/logos/500/290.png,https://cdn.collegefootballdata.com/logos-dark/500/290.png,2021|2023|2026
Georgia State,2247,GAST,#0039a6,#ffffff,https://cdn.collegefootballdata.com/logos/500/2247.png,https://cdn.collegefootballdata.com/logos-dark/500/2247.png,2021|2023|2026
Georgia Tech,59,GT,#b3a369,#ffffff,https://cdn.collegefootballdata.com/logos/500/59.png,https://cdn.collegefootballdata.com/logos-dark/500/59.png,2021|2023|2026
Hawai'i,62,HAW,#024731,#000000,https://cdn.collegefootballdata.com/logos/500/62.png,https://cdn.collegefootballdata.com/logos-dark/500/62.png,2021|2023|2026
Houston,248,HOU,#c8102e,#ffffff,https://cdn.collegefootballdata.com/logos/500/248.png,https://cdn.collegefootballdata.com/logos-dark/500/248.png,2021|2023|2026
Illinois,356,ILL,#ff5f05,#13294b,https://cdn.collegefootballdata.com/logos/500/356.png,https://cdn.collegefootballdata.com/logos-dark/500/356.png,2021|2023|2026
Indiana,84,IU,#990000,#ffffff,https://cdn.collegefootballdata.com/logos/500/84.png,https://cdn.collegefootballdata.com/logos-dark/500/84.png,2021|2023|2026
Iowa,2294,IOWA,#000000,#ffcd00,https://cdn.collegefootballdata.com/logos/500/2294.png,https://cdn.collegefootballdata.com/logos-dark/500/2294.png,2021|2023|2026
Iowa State,66,ISU,#c8102e,#f1be48,https://cdn.collegefootballdata.com/logos/500/66.png,https://cdn.collegefootballdata.com/logos-dark/500/66.png,2021|2023|2026
Jacksonville State,55,JXST,#cc0000,#000000,https://cdn.collegefootballdata.com/logos/500/55.png,https://cdn.collegefootballdata.com/logos-dark/500/55.png,2023|2026
James Madison,256,JMU,#450084,#cbb677,https://cdn.collegefootballdata.com/logos/500/256.png,https://cdn.collegefootballdata.com/logos-dark/500/256.png,2023|2026
Kansas,2305,KU,#0051ba,#e8000d,https://cdn.collegefootballdata.com/logos/500/2305.png,https://cdn.collegefootballdata.com/logos-dark/500/2305.png,2021|2023|2026
Kansas State,2306,KSU,#512888,#ffffff,https://cdn.collegefootballdata.com/logos/500/2306.png,https://cdn.collegefootballdata.com/logos-dark/500/2306.png,2021|2023|2026
Kennesaw State,338,KENN,#fdbb30,#0b1315,https://cdn.collegefootballdata.com/logos/500/338.png,https://cdn.collegefootballdata.com/logos-dark/500/338.png,2026
Kent State,2309,KENT,#002664,#eaab00,https://cdn.collegefootballdata.com/logos/500/2309.png,https://cdn.collegefootballdata.com/logos-dark/500/2309.png,2021|2023|2026
Kentucky,96,UK,#0033a0,#ffffff,https://cdn.collegefootballdata.com/logos/500/96.png,https://cdn.collegefootballdata.com/logos-dark/500/96.png,2021|2023|2026
LSU,99,LSU,#461d7c,#fdd023,https://cdn.collegefootballdata.com/logos/500/99.png,https://cdn.collegefootballdata.com/logos-dark/500/99.png,2021|2023|2026
Liberty,2335,LIB,#0a254e,#b72025,https://cdn.collegefootballdata.com/logos/500/2335.png,https://cdn.collegefootballdata.com/logos-dark/500/2335.png,2021|2023|2026
Louisiana,309,UL,#ce181e,#000000,https://cdn.collegefootballdata.com/logos/500/309.png,https://cdn.collegefootballdata.com/logos-dark/500/309.png,2021|2023|2026
Louisiana Tech,2348,LT,#003087,#cb333b,https://cdn.collegefootballdata.com/logos/500/2348.png,https://cdn.collegefootballdata.com/logos-dark/500/2348.png,2021|2023|2026
Louisville,97,LOU,#c9001f,#000000,https://cdn.collegefootballdata.com/logos/500/97.png,https://cdn.collegefootballdata.com/logos-dark/500/97.png,2021|2023|2026
Marshall,276,MRSH,#00b140,#000000,https://cdn.collegefootballdata.com/logos/500/276.png,https://cdn.collegefootballdata.com/logos-dark/500/276.png,2021|2023|2026
Maryland,120,MD,#ce1126,#ffffff,https://cdn.collegefootballdata.com/logos/500/120.png,https://cdn.collegefootballdata.com/logos-dark/500/120.png,2021|2023|2026
Massachusetts,113,MASS,#881c1c,#ffffff,https://cdn.collegefootballdata.com/logos/500/113.png,https://cdn.collegefootballdata.com/logos-dark/500/113.png,2021|2023|2026
Memphis,235,MEM,#00498f,#9c9ea1,https://cdn.collegefootballdata.com/logos/500/235.png,https://cdn.collegefootballdata.com/logos-dark/500/235.png,2021|2023|2026
Miami,2390,MIA,#f47321,#005030,https://cdn.collegefootballdata.com/logos/500/2390.png,https://cdn.collegefootballdata.com/logos-dark/500/2390.png,2021|2023|2026
Miami (OH),193,M-OH,#c41230,#ffffff,https://cdn.collegefootballdata.com/logos/500/193.png,https://cdn.collegefootballdata.com/logos-dark/500/193.png,2021|2023|2026
Michigan,130,MICH,#00274c,#ffcb05,https://cdn.collegefootballdata.com/logos/500/130.png,https://cdn.collegefootballdata.com/logos-dark/500/130.png,2021|2023|2026
Michigan State,127,MSU,#173f35,#ffffff,https://cdn.collegefootballdata.com/logos/500/127.png,https://cdn.collegefootballdata.com/logos-dark/500/127.png,2021|2023|2026
Middle Tennessee,2393,MTSU,#036eb7,#ffffff,https://cdn.collegefootballdata.com/logos/500/2393.png,https://cdn.collegefootballdata.com/logos-dark/500/2393.png,2021|2023|2026
Minnesota,135,MINN,#7a0019,#ffcc33,https://cdn.collegefootballdata.com/logos/500/135.png,https://cdn.collegefootballdata.com/logos-dark/500/135.png,2021|2023|2026
Mississippi State,344,MSST,#5d1725,#c1c6c8,https://cdn.collegefootballdata.com/logos/500/344.png,https://cdn.collegefootballdata.com/logos-dark/500/344.png,2021|2023|2026
Missouri,142,MIZ,#f1b82d,#000000,https://cdn.collegefootballdata.com/logos/500/142.png,https://cdn.collegefootballdata.com/logos-dark/500/142.png,2021|2023|2026
Missouri State,2623,MOST,#5e0009,#ffffff,https://cdn.collegefootballdata.com/logos/500/2623.png,https://cdn.collegefootballdata.com/logos-dark/500/2623.png,2026
NC State,152,NCSU,#cc0000,#ffffff,https://cdn.collegefootballdata.com/logos/500/152.png,https://cdn.collegefootballdata.com/logos-dark/500/152.png,2021|2023|2026
Navy,2426,NAVY,#00225b,#b5a67c,https://cdn.collegefootballdata.com/logos/500/2426.png,https://cdn.collegefootballdata.com/logos-dark/500/2426.png,2021|2023|2026
Nebraska,158,NEB,#d00000,#ffffff,https://cdn.collegefootballdata.com/logos/500/158.png,https://cdn.collegefootballdata.com/logos-dark/500/158.png,2021|2023|2026
Nevada,2440,NEV,#041e42,#8a8d8f,https://cdn.collegefootballdata.com/logos/500/2440.png,https://cdn.collegefootballdata.com/logos-dark/500/2440.png,2021|2023|2026
New Mexico,167,UNM,#ba0c2f,#a7a8aa,https://cdn.collegefootballdata.com/logos/500/167.png,https://cdn.collegefootballdata.com/logos-dark/500/167.png,2021|2023|2026
New Mexico State,166,NMSU,#8c0b42,#ffffff,https://cdn.collegefootballdata.com/logos/500/166.png,https://cdn.collegefootballdata.com/logos-dark/500/166.png,2021|2023|2026
North Carolina,153,UNC,#7bafd4,#13294b,https://cdn.collegefootballdata.com/logos/500/153.png,https://cdn.collegefootballdata.com/logos-dark/500/153.png,2021|2023|2026
North Dakota State,2449,NDSU,#00583d,#ffc425,https://cdn.collegefootballdata.com/logos/500/2449.png,https://cdn.collegefootballdata.com/logos-dark/500/2449.png,2026
North Texas,249,UNT,#00853e,#ffffff,https://cdn.collegefootballdata.com/logos/500/249.png,https://cdn.collegefootballdata.com/logos-dark/500/249.png,2021|2023|2026
Northern Illinois,2459,NIU,#c8102e,#000000,https://cdn.collegefootballdata.com/logos/500/2459.png,https://cdn.collegefootballdata.com/logos-dark/500/2459.png,2021|2023|2026
Northwestern,77,NU,#582c83,#ffffff,https://cdn.collegefootballdata.com/logos/500/77.png,https://cdn.collegefootballdata.com/logos-dark/500/77.png,2021|2023|2026
Notre Dame,87,ND,#0c2340,#c99700,https://cdn.collegefootballdata.com/logos/500/87.png,https://cdn.collegefootballdata.com/logos-dark/500/87.png,2021|2023|2026
Ohio,195,OHIO,#024230,#ffffff,https://cdn.collegefootballdata.com/logos/500/195.png,https://cdn.collegefootballdata.com/logos-dark/500/195.png,2021|2023|2026
Ohio State,194,OSU,#ba0c2f,#a7b1b7,https://cdn.collegefootballdata.com/logos/500/194.png,https://cdn.collegefootballdata.com/logos-dark/500/194.png,2021|2023|2026
Oklahoma,201,OU,#841617,#ffffff,https://cdn.collegefootballdata.com/logos/500/201.png,https://cdn.collegefootballdata.com/logos-dark/500/201.png,2021|2023|2026
Oklahoma State,197,OKST,#fe5c00,#000000,https://cdn.collegefootballdata.com/logos/500/197.png,https://cdn.collegefootballdata.com/logos-dark/500/197.png,2021|2023|2026
Old Dominion,295,ODU,#043657,#98c5ea,https://cdn.collegefootballdata.com/logos/500/295.png,https://cdn.collegefootballdata.com/logos-dark/500/295.png,2021|2023|2026
Ole Miss,145,MISS,#13294b,#cf142b,https://cdn.collegefootballdata.com/logos/500/145.png,https://cdn.collegefootballdata.com/logos-dark/500/145.png,2021|2023|2026
Oregon,2483,ORE,#007030,#fee11a,https://cdn.collegefootballdata.com/logos/500/2483.png,https://cdn.collegefootballdata.com/logos-dark/500/2483.png,2021|2023|2026
Oregon State,204,ORST,#dc4405,#000000,https://cdn.collegefootballdata.com/logos/500/204.png,https://cdn.collegefootballdata.com/logos-dark/500/204.png,2021|2023|2026
Penn State,213,PSU,#001e44,#ffffff,https://cdn.collegefootballdata.com/logos/500/213.png,https://cdn.collegefootballdata.com/logos-dark/500/213.png,2021|2023|2026
Pittsburgh,221,PITT,#003594,#ffb81c,https://cdn.collegefootballdata.com/logos/500/221.png,https://cdn.collegefootballdata.com/logos-dark/500/221.png,2021|2023|2026
Purdue,2509,PUR,#ceb888,#000000,https://cdn.collegefootballdata.com/logos/500/2509.png,https://cdn.collegefootballdata.com/logos-dark/500/2509.png,2021|2023|2026
Rice,242,RICE,#00205b,#c1c6c8,https://cdn.collegefootballdata.com/logos/500/242.png,https://cdn.collegefootballdata.com/logos-dark/500/242.png,2021|2023|2026
Rutgers,164,RUTG,#ce0e2d,#ffffff,https://cdn.collegefootballdata.com/logos/500/164.png,https://cdn.collegefootballdata.com/logos-dark/500/164.png,2021|2023|2026
SMU,2567,SMU,#d70000,#0033a1,https://cdn.collegefootballdata.com/logos/500/2567.png,https://cdn.collegefootballdata.com/logos-dark/500/2567.png,2021|2023|2026
Sacramento State,16,SAC,#00573c,#cdb97d,https://cdn.collegefootballdata.com/logos/500/16.png,https://cdn.collegefootballdata.com/logos-dark/500/16.png,2026
Sam Houston,2534,SHSU,#f56423,#ffffff,https://cdn.collegefootballdata.com/logos/500/2534.png,https://cdn.collegefootballdata.com/logos-dark/500/2534.png,2023|2026
San Diego State,21,SDSU,#a6192e,#000000,https://cdn.collegefootballdata.com/logos/500/21.png,https://cdn.collegefootballdata.com/logos-dark/500/21.png,2021|2023|2026
San José State,23,SJSU,#0055a2,#e5a823,https://cdn.collegefootballdata.com/logos/500/23.png,https://cdn.collegefootballdata.com/logos-dark/500/23.png,2021|2023|2026
South Alabama,6,USA,#00205b,#bf0d3e,https://cdn.collegefootballdata.com/logos/500/6.png,https://cdn.collegefootballdata.com/logos-dark/500/6.png,2021|2023|2026
South Carolina,2579,SC,#73000a,#000000,https://cdn.collegefootballdata.com/logos/500/2579.png,https://cdn.collegefootballdata.com/logos-dark/500/2579.png,2021|2023|2026
South Florida,58,USF,#006747,#cfc493,https://cdn.collegefootballdata.com/logos/500/58.png,https://cdn.collegefootballdata.com/logos-dark/500/58.png,2021|2023|2026
Southern Miss,2572,USM,#ffc72c,#231f20,https://cdn.collegefootballdata.com/logos/500/2572.png,https://cdn.collegefootballdata.com/logos-dark/500/2572.png,2021|2023|2026
Stanford,24,STAN,#8c1515,#ffffff,https://cdn.collegefootballdata.com/logos/500/24.png,https://cdn.collegefootballdata.com/logos-dark/500/24.png,2021|2023|2026
Syracuse,183,SYR,#f76900,#000e54,https://cdn.collegefootballdata.com/logos/500/183.png,https://cdn.collegefootballdata.com/logos-dark/500/183.png,2021|2023|2026
TCU,2628,TCU,#4d1979,#ffffff,https://cdn.collegefootballdata.com/logos/500/2628.png,https://cdn.collegefootballdata.com/logos-dark/500/2628.png,2021|2023|2026
Temple,218,TEM,#a41e35,#ffffff,https://cdn.collegefootballdata.com/logos/500/218.png,https://cdn.collegefootballdata.com/logos-dark/500/218.png,2021|2023|2026
Tennessee,2633,TENN,#ff8200,#ffffff,https://cdn.collegefootballdata.com/logos/500/2633.png,https://cdn.collegefootballdata.com/logos-dark/500/2633.png,2021|2023|2026
Texas,251,TEX,#bf5700,#ffffff,https://cdn.collegefootballdata.com/logos/500/251.png,https://cdn.collegefootballdata.com/logos-dark/500/251.png,2021|2023|2026
Texas A&M,245,TA&M,#500000,#ffffff,https://cdn.collegefootballdata.com/logos/500/245.png,https://cdn.collegefootballdata.com/logos-dark/500/245.png,2021|2023|2026
Texas State,326,TXST,#501214,#6a5638,https://cdn.collegefootballdata.com/logos/500/326.png,https://cdn.collegefootballdata.com/logos-dark/500/326.png,2021|2023|2026
Texas Tech,2641,TTU,#c30020,#000000,https://cdn.collegefootballdata.com/logos/500/2641.png,https://cdn.collegefootballdata.com/logos-dark/500/2641.png,2021|2023|2026
Toledo,2649,TOL,#0b2240,#ffcd00,https://cdn.collegefootballdata.com/logos/500/2649.png,https://cdn.collegefootballdata.com/logos-dark/500/2649.png,2021|2023|2026
Troy,2653,TROY,#862633,#b1b1b1,https://cdn.collegefootballdata.com/logos/500/2653.png,https://cdn.collegefootballdata.com/logos-dark/500/2653.png,2021|2023|2026
Tulane,2655,TULN,#006747,#418fde,https://cdn.collegefootballdata.com/logos/500/2655.png,https://cdn.collegefootballdata.com/logos-dark/500/2655.png,2021|2023|2026
Tulsa,202,TLSA,#003595,#d0b787,https://cdn.collegefootballdata.com/logos/500/202.png,https://cdn.collegefootballdata.com/logos-dark/500/202.png,2021|2023|2026
UAB,5,UAB,#1a5632,#fdb913,https://cdn.collegefootballdata.com/logos/500/5.png,https://cdn.collegefootballdata.com/logos-dark/500/5.png,2021|2023|2026
UCF,2116,UCF,#000000,#b4a169,https://cdn.collegefootballdata.com/logos/500/2116.png,https://cdn.collegefootballdata.com/logos-dark/500/2116.png,2021|2023|2026
UCLA,26,UCLA,#2774ae,#f2a900,https://cdn.collegefootballdata.com/logos/500/26.png,https://cdn.collegefootballdata.com/logos-dark/500/26.png,2021|2023|2026
UConn,41,CONN,#000e2f,#ffffff,https://cdn.collegefootballdata.com/logos/500/41.png,https://cdn.collegefootballdata.com/logos-dark/500/41.png,2021|2023|2026
UL Monroe,2433,ULM,#840029,#fdb913,https://cdn.collegefootballdata.com/logos/500/2433.png,https://cdn.collegefootballdata.com/logos-dark/500/2433.png,2021|2023|2026
UNLV,2439,UNLV,#cf0a2c,#cac8c8,https://cdn.collegefootballdata.com/logos/500/2439.png,https://cdn.collegefootballdata.com/logos-dark/500/2439.png,2021|2023|2026
USC,30,USC,#990000,#ffcc00,https://cdn.collegefootballdata.com/logos/500/30.png,https://cdn.collegefootballdata.com/logos-dark/500/30.png,2021|2023|2026
UTEP,2638,UTEP,#ff8200,#041e42,https://cdn.collegefootballdata.com/logos/500/2638.png,https://cdn.collegefootballdata.com/logos-dark/500/2638.png,2021|2023|2026
UTSA,2636,UTSA,#0c2340,#f15a22,https://cdn.collegefootballdata.com/logos/500/2636.png,https://cdn.collegefootballdata.com/logos-dark/500/2636.png,2021|2023|2026
Utah,254,UTAH,#be0000,#ffffff,https://cdn.collegefootballdata.com/logos/500/254.png,https://cdn.collegefootballdata.com/logos-dark/500/254.png,2021|2023|2026
Utah State,328,USU,#0f2439,#ffffff,https://cdn.collegefootballdata.com/logos/500/328.png,https://cdn.collegefootballdata.com/logos-dark/500/328.png,2021|2023|2026
Vanderbilt,238,VAN,#000000,#cfae70,https://cdn.collegefootballdata.com/logos/500/238.png,https://cdn.collegefootballdata.com/logos-dark/500/238.png,2021|2023|2026
Virginia,258,UVA,#232d4b,#f84c1e,https://cdn.collegefootballdata.com/logos/500/258.png,https://cdn.collegefootballdata.com/logos-dark/500/258.png,2021|2023|2026
Virginia Tech,259,VT,#861f41,#e87722,https://cdn.collegefootballdata.com/logos/500/259.png,https://cdn.collegefootballdata.com/logos-dark/500/259.png,2021|2023|2026
Wake Forest,154,WAKE,#ceb888,#2c2a29,https://cdn.collegefootballdata.com/logos/500/154.png,https://cdn.collegefootballdata.com/logos-dark/500/154.png,2021|2023|2026
Washington,264,WASH,#33006f,#e8d3a2,https://cdn.collegefootballdata.com/logos/500/264.png,https://cdn.collegefootballdata.com/logos-dark/500/264.png,2021|2023|2026
Washington State,265,WSU,#a60f2d,#4d4d4d,https://cdn.collegefootballdata.com/logos/500/265.png,https://cdn.collegefootballdata.com/logos-dark/500/265.png,2021|2023|2026
West Virginia,277,WVU,#eaaa00,#002855,https://cdn.collegefootballdata.com/logos/500/277.png,https://cdn.collegefootballdata.com/logos-dark/500/277.png,2021|2023|2026
Western Kentucky,98,WKU,#c60c30,#ffffff,https://cdn.collegefootballdata.com/logos/500/98.png,https://cdn.collegefootballdata.com/logos-dark/500/98.png,2021|2023|2026
Western Michigan,2711,WMU,#532e1f,#f1c500,https://cdn.collegefootballdata.com/logos/500/2711.png,https://cdn.collegefootballdata.com/logos-dark/500/2711.png,2021|2023|2026
Wisconsin,275,WIS,#a00000,#ffffff,https://cdn.collegefootballdata.com/logos/500/275.png,https://cdn.collegefootballdata.com/logos-dark/500/275.png,2021|2023|2026
Wyoming,2751,WYO,#492f24,#ffc425,https://cdn.collegefootballdata.com/logos/500/2751.png,https://cdn.collegefootballdata.com/logos-dark/500/2751.png,2021|2023|2026
